uuid,Label
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
